"","GEOID","pop_5_and_under"
"696","02833",60
"697","02835",187
"698","02836",0
"699","02837",22
"700","02838",404
"701","02839",105
"702","02840",1493
"703","02841",0
"704","02842",1176
"705","02852",1228
"706","02857",364
"707","02858",32
"708","02859",617
"709","02860",3357
"710","02861",1752
"711","02863",2110
"712","02864",2110
"713","02865",1149
"714","02871",871
"715","02872",0
"716","02873",0
"717","02874",367
"718","02875",0
"719","02876",32
"720","02878",759
"721","02879",1170
"722","02881",33
"723","02882",339
"724","02885",495
"725","02886",1806
"726","02888",1228
"727","02889",1544
"728","02891",880
"729","02892",592
"730","02893",1795
"731","02894",0
"732","02895",3462
"733","02896",529
"734","02898",56
"735","02903",346
"736","02904",2331
"737","02905",2313
"738","02906",1524
"739","02907",2587
"740","02908",3393
"741","02909",3605
"742","02910",1567
"743","02911",704
"744","02912",0
"745","02914",1051
"746","02915",1289
"747","02916",678
"748","02917",552
"749","02918",0
"750","02919",1571
"751","02920",2752
"752","02921",714
"753","03031",765
"754","03032",398
"755","03033",368
"756","03034",289
"757","03036",342
"758","03037",194
"759","03038",2286
"760","03042",574
"761","03043",109
"762","03044",375
"763","03045",848
"764","03046",220
"765","03047",99
"766","03048",244
"767","03049",318
"768","03051",1020
"769","03052",729
"770","03053",1554
"771","03054",1617
"772","03055",1282
"773","03057",140
"774","03060",2258
"775","03062",2164
"776","03063",853
"777","03064",672
"778","03070",358
"779","03071",465
"780","03076",703
"781","03077",728
"782","03079",1508
"783","03082",93
"784","03084",48
"785","03086",296
"786","03087",1012
"787","03101",174
"788","03102",2275
"789","03103",2806
"790","03104",2126
"791","03106",773
"792","03109",462
"793","03110",1590
"794","03215",9
"795","03216",88
"796","03217",292
"797","03218",75
"798","03220",389
"799","03221",141
"800","03222",286
"801","03223",73
"802","03224",97
"803","03225",134
"804","03226",24
"805","03227",55
"806","03229",376
"807","03230",74
"808","03231",0
"809","03233",0
"810","03234",273
"811","03235",269
"812","03237",166
"813","03238",0
"814","03240",98
"815","03241",35
"816","03242",351
"817","03243",42
"818","03244",202
"819","03245",39
"820","03246",897
"821","03249",538
"822","03251",60
"823","03253",269
"824","03254",127
"825","03255",119
"826","03256",93
"827","03257",212
"828","03258",132
"829","03259",0
"830","03260",49
"831","03261",301
"832","03262",26
"833","03263",182
"834","03264",97
"835","03266",59
"836","03268",52
"837","03269",104
"838","03273",9
"839","03275",836
"840","03276",541
"841","03278",212
"842","03279",17
"843","03280",21
"844","03281",401
"845","03282",171
"846","03284",20
"847","03285",167
"848","03287",98
"849","03290",409
"850","03291",55
"851","03293",95
"852","03301",1905
"853","03303",1022
"854","03304",664
"855","03307",144
"856","03431",920
"857","03440",161
"858","03441",16
"859","03442",126
"860","03443",0
"861","03444",47
"862","03445",67
"863","03446",370
"864","03447",99
"865","03448",68
"866","03449",39
"867","03450",57
"868","03451",160
"869","03452",288
"870","03455",263
"871","03456",74
"872","03457",47
"873","03458",196
"874","03461",353
"875","03462",59
"876","03464",58
"877","03465",102
"878","03466",116
"879","03467",88
"880","03470",463
"881","03561",283
"882","03570",467
"883","03574",72
"884","03575",0
"885","03576",88
"886","03579",0
"887","03580",17
"888","03581",59
"889","03582",185
"890","03583",26
"891","03584",237
"892","03585",92
"893","03586",9
"894","03588",70
"895","03590",70
"896","03592",12
"897","03593",17
"898","03595",19
"899","03597",19
"900","03598",202
"901","03601",9
"902","03602",137
"903","03603",389
"904","03604",0
"905","03605",66
"906","03607",19
"907","03608",417
"908","03609",4
"909","03740",45
"910","03741",79
"911","03743",859
"912","03745",109
"913","03748",252
"914","03750",24
"915","03751",0
"916","03752",63
"917","03753",97
"918","03755",258
"919","03765",0
"920","03766",784
"921","03768",87
"922","03770",23
"923","03771",84
"924","03773",410
"925","03774",67
"926","03777",60
"927","03779",25
"928","03780",33
"929","03781",188
"930","03782",103
"931","03784",165
"932","03785",187
"933","03801",920
"934","03809",258
"935","03810",0
"936","03811",298
"937","03812",0
"938","03813",283
"939","03814",198
"940","03816",152
"941","03817",27
"942","03818",210
"943","03819",213
"944","03820",2176
"945","03823",134
"946","03824",297
"947","03825",671
"948","03826",347
"949","03827",159
"950","03830",44
"951","03832",11
"952","03833",1126
"953","03835",549
"954","03836",22
"955","03837",125
"956","03838",74
"957","03839",174
"958","03840",206
"959","03841",290
"960","03842",426
"961","03844",64
"962","03845",0
"963","03846",82
"964","03847",0
"965","03848",141
"966","03849",90
"967","03850",0
"968","03851",324
"969","03852",12
"970","03853",7
"971","03854",50
"972","03855",234
"973","03856",70
"974","03857",522
"975","03858",194
"976","03860",101
"977","03861",190
"978","03862",140
"979","03864",75
"980","03865",402
"981","03867",1324
"982","03868",417
"983","03869",81
"984","03870",332
"985","03871",0
"986","03872",156
"987","03873",537
"988","03874",272
"989","03875",100
"990","03878",434
"991","03882",181
"992","03883",30
"993","03884",204
"994","03885",465
"995","03886",66
"996","03887",120
"997","03890",0
"998","03894",139
"999","03897",0
"1000","03901",597
"1001","03902",138
"1002","03903",386
"1003","03904",480
"1004","03905",19
