"","...1","zcta","year","month","childcare_programs","programs_accepting_subsidies","licensed_capacity","pop_5_and_under"
"212",1618,"64029","2019","November",6,NA,477,1542
"213",1626,"64030","2019","November",18,7,1222,2040
"214",1634,"64034","2019","November",3,NA,117,552
"215",1642,"64037","2019","November",4,2,118,235
"216",1650,"64040","2019","November",5,1,112,366
"217",1658,"64048","2019","November",1,1,10,317
"218",1666,"64050","2019","November",11,1,723,1471
"219",1674,"64052","2019","November",8,1,314,1595
"220",1682,"64053","2019","November",1,NA,60,495
"221",1690,"64054","2019","November",1,NA,45,343
"222",1698,"64055","2019","November",15,1,1252,2389
"223",1706,"64056","2019","November",10,1,613,1866
"224",1714,"64057","2019","November",10,2,746,872
"225",1722,"64058","2019","November",1,NA,10,597
"226",1725,"64060","2019","November",8,1,602,952
"227",1733,"64062","2019","November",2,1,72,414
"228",1741,"64063","2019","November",13,2,906,1612
"229",1749,"64064","2019","November",7,2,731,1662
"230",1757,"64067","2019","November",6,NA,210,487
"231",1765,"64068","2019","November",18,1,1447,2699
"232",1777,"64075","2019","November",6,2,373,967
"233",1785,"64076","2019","November",3,NA,293,708
"234",1794,"64078","2019","November",3,NA,213,629
"235",1802,"64079","2019","November",10,1,610,1111
"236",1810,"64080","2019","November",4,NA,317,1027
"237",1818,"64081","2019","November",8,NA,847,2009
"238",1826,"64082","2019","November",4,1,322,1547
"239",1834,"64083","2019","November",14,3,1285,1791
"240",1842,"64085","2019","November",5,NA,102,616
"241",1850,"64086","2019","November",7,1,460,1781
"242",1858,"64089","2019","November",9,1,527,1349
"243",1866,"64093","2019","November",14,1,630,1936
"244",1880,"64097","2019","November",3,NA,80,102
"245",1886,"64098","2019","November",1,NA,10,162
"246",1891,"64105","2019","November",3,NA,360,46
"247",1899,"64106","2019","November",6,NA,341,1100
"248",1907,"64108","2019","November",7,1,615,514
"249",1915,"64109","2019","November",13,2,1601,706
"250",1923,"64110","2019","November",11,3,524,979
"251",1931,"64111","2019","November",10,NA,1262,595
"252",1939,"64112","2019","November",1,1,67,117
"253",1946,"64113","2019","November",6,1,498,1272
"254",1954,"64114","2019","November",18,2,2143,1587
"255",1962,"64116","2019","November",4,NA,274,811
"256",1970,"64117","2019","November",6,1,417,1185
"257",1978,"64118","2019","November",15,1,1032,4170
"258",1986,"64119","2019","November",10,2,679,2375
"259",1997,"64123","2019","November",5,2,556,889
"260",2005,"64124","2019","November",3,NA,263,1245
"261",2013,"64126","2019","November",1,NA,150,413
"262",2020,"64127","2019","November",11,2,1043,1928
"263",2028,"64128","2019","November",12,7,196,967
"264",2036,"64129","2019","November",4,2,196,647
"265",2044,"64130","2019","November",16,6,1393,1458
"266",2052,"64131","2019","November",12,6,750,2180
"267",2060,"64132","2019","November",22,11,1116,1143
"268",2068,"64133","2019","November",12,4,467,2726
"269",2076,"64134","2019","November",20,8,1232,2614
"270",2084,"64136","2019","November",1,NA,99,74
"271",2092,"64137","2019","November",5,2,679,1053
"272",2100,"64138","2019","November",19,5,1411,1629
"273",2108,"64145","2019","November",2,NA,281,235
"274",2116,"64146","2019","November",1,1,20,136
"275",2123,"64150","2019","November",1,NA,124,425
"276",2131,"64151","2019","November",7,1,708,1690
"277",2139,"64152","2019","November",6,NA,263,2285
"278",2147,"64153","2019","November",3,NA,114,355
"279",2155,"64154","2019","November",3,NA,235,898
"280",2163,"64155","2019","November",15,1,1072,2145
"281",2171,"64156","2019","November",3,NA,60,450
"282",2179,"64157","2019","November",2,1,122,1687
"283",2187,"64158","2019","November",2,NA,270,280
"284",2195,"64161","2019","November",2,NA,538,19
"285",2203,"64402","2019","November",4,NA,107,224
"286",2211,"64424","2019","November",6,1,80,218
"287",2219,"64429","2019","November",4,NA,134,550
"288",2227,"64439","2019","November",1,NA,78,97
"289",2231,"64444","2019","November",1,NA,48,83
"290",2239,"64448","2019","November",2,NA,30,42
"291",2247,"64454","2019","November",3,2,90,191
"292",2255,"64456","2019","November",1,NA,20,95
"293",2262,"64463","2019","November",2,2,58,102
"294",2270,"64465","2019","November",3,1,30,153
"295",2278,"64466","2019","November",1,NA,20,15
"296",2285,"64468","2019","November",10,2,540,780
"297",2293,"64469","2019","November",1,NA,20,133
"298",2300,"64470","2019","November",1,NA,20,114
"299",2307,"64476","2019","November",1,NA,10,8
"300",2315,"64477","2019","November",3,NA,50,225
"301",2322,"64482","2019","November",3,NA,90,163
"302",2329,"64484","2019","November",1,NA,0,75
"303",2330,"64485","2019","November",5,NA,288,589
"304",2338,"64489","2019","November",4,NA,50,199
"305",2346,"64501","2019","November",8,NA,314,959
"306",2354,"64503","2019","November",9,5,235,1067
"307",2362,"64504","2019","November",3,1,50,712
"308",2370,"64505","2019","November",5,NA,249,929
"309",2377,"64506","2019","November",10,1,459,1231
"310",2385,"64507","2019","November",10,2,418,1445
"311",2393,"64601","2019","November",15,8,422,658
"312",2401,"64628","2019","November",6,NA,125,404
"313",2409,"64633","2019","November",7,NA,194,360
"314",2417,"64640","2019","November",1,1,99,219
"315",2425,"64644","2019","November",4,1,50,233
"316",2433,"64648","2019","November",1,NA,30,331
"317",2441,"64650","2019","November",1,NA,0,27
"318",2442,"64658","2019","November",5,NA,40,239
"319",2450,"64659","2019","November",1,1,10,75
"320",2458,"64671","2019","November",1,NA,15,198
"321",2459,"64673","2019","November",1,NA,10,229
"322",2467,"64683","2019","November",6,2,197,639
"323",2475,"64701","2019","November",10,4,386,1135
"324",2483,"64720","2019","November",2,NA,40,499
"325",2491,"64724","2019","November",3,NA,75,122
"326",2499,"64725","2019","November",3,1,103,181
"327",2507,"64728","2019","November",1,NA,50,27
"328",2510,"64730","2019","November",5,2,72,425
"329",2518,"64735","2019","November",6,1,388,869
"330",2526,"64740","2019","November",1,NA,20,61
"331",2528,"64742","2019","November",1,NA,10,98
"332",2535,"64744","2019","November",6,1,124,627
"333",2549,"64752","2019","November",1,NA,20,74
"334",2559,"64759","2019","November",11,5,248,575
"335",2567,"64761","2019","November",2,NA,100,161
"336",2575,"64762","2019","November",1,NA,15,166
"337",2576,"64772","2019","November",19,7,379,895
"338",2584,"64779","2019","November",1,1,20,213
"339",2589,"64784","2019","November",1,NA,10,141
"340",2591,"64801","2019","November",23,6,1186,2345
"341",2599,"64804","2019","November",19,3,1083,2930
"342",2607,"64831","2019","November",3,1,72,564
"343",2615,"64834","2019","November",7,2,238,870
"344",2623,"64835","2019","November",1,NA,60,172
"345",2631,"64836","2019","November",8,2,434,1881
"346",2639,"64840","2019","November",1,1,20,263
"347",2647,"64843","2019","November",1,NA,20,234
"348",2651,"64844","2019","November",5,1,152,342
"349",2659,"64850","2019","November",11,5,427,1785
