county,zip code,city
Morgan,65072,Eldon
Laclede,65463,Eldridge
Texas,65464,Elk Creek
Christian,65753,Elkhead
Warren,63383,Elkhorn
Boone,65201,Elkhurst
Dallas,65644,Elkland
Reynolds,63638,Ellington
Texas,65444,Ellis Prairie
Saint Louis,63011,Ellisville
Saint Louis,63021,Ellisville
Saint Louis,63038,Ellisville
Carter,63937,Ellsinore
Macon,63538,Elmer
Ray,64062,Elmira
Nodaway,64445,Elmo
Saline,65321,Elmwood
Lincoln,63343,Elsberry
Cole,65109,Elston
Saint Francois,63601,Elvins
Marion,63461,Ely
Shelby,63439,Emden
Shannon,65466,Eminence
Lafayette,65327,Emma
Cole,65074,Enon
Pike,63344,Eolia
Miller,65082,Equality
Lafayette,64020,Ernestville
Stoddard,63846,Essex
Saint Francois,63601,Esther
Howard,65274,Estill
Macon,63539,Ethel
Lincoln,63369,Ethlyn
Franklin,63014,Etlah
Miller,65031,Etterville
Polk,65645,Eudora
Cole,65032,Eugene
Texas,65468,Eunice
Saint Louis,63025,Eureka
Texas,65552,Evening Shade
Dade,65646,Everton
Lewis,63440,Ewing
Macon,65247,Excello
Clay,64024,Excelsior Estates
Clay,64024,Excelsior Springs
Barry,65647,Exeter
Butler,63938,Fagus
Greene,65648,Fair Grove
Polk,65649,Fair Play
Ripley,63939,Fairdealing
Atchison,64446,Fairfax
Clark,63474,Fairmont
Dekalb,64447,Fairport
Newton,64842,Fairview
Wright,65470,Falcon
Audrain,63345,Farber
Platte,64028,Farley
Saint Francois,63640,Farmington
Perry,63746,Farrar
Buchanan,64448,Faucett
Howard,65248,Fayette
Saint Charles,63332,Femme Osage
Saint Louis,63026,Fenton
Saint Louis,63099,Fenton
Saint Louis,63135,Ferguson
Saint Louis,63136,Ferguson
Saint Louis,63145,Ferguson
Platte,64163,Ferrelview
Jefferson,63028,Festus
Jasper,64836,Fidelity
Andrew,64449,Fillmore
Jasper,64804,Joplin
Christian,65721,Finley
Butler,63940,Fisk
Saint Francois,63601,Flat River
Saint Francois,63653,Flat River
Polk,65650,Flemington
Jefferson,63030,Fletcher
Saint Charles,63346,Flinthill
Saint Louis,63136,Flordell Hills
Morgan,65329,Florence
Monroe,65283,Florida
Saint Louis,63031,Florissant
Saint Louis,63032,Florissant
Saint Louis,63033,Florissant
Saint Louis,63034,Florissant
Lincoln,63347,Foley
Osage,65085,Folk
Webster,65652,Fordland
Holt,64451,Forest City
Chariton,65281,Forest Green
Knox,63446,Forest Springs
Saint Charles,63348,Foristell
Taney,65653,Forsyth
Pulaski,65473,Fort Leonard Wood
Jackson,64088,Fort Osage
Holt,64437,Fortescue
Moniteau,65034,Fortuna
Bates,64745,Foster
Camden,65049,Four Seasons
Saint Francois,63601,Frankclay
Osage,65016,Frankenstein
Pike,63441,Frankford
Howard,65250,Franklin
Gasconade,65061,Fredericksburg
Madison,63645,Fredericktown
Dunklin,63837,Freeborn
Osage,65035,Freeburg
Osage,65024,Freedom
Cass,64746,Freeman
Lawrence,65654,Freistatt
Carter,63941,Fremont
Saint Francois,63036,French Village
Cape Girardeau,63747,Friedheim
Benton,65355,Fristoe
Perry,63748,Frohna
Saint Louis,63131,Frontenac
Callaway,65251,Fulton
Ozark,65655,Gainesville
Stone,65624,Galena
Stone,65656,Galena
Daviess,64640,Gallatin
Hickory,65779,Galmey
Grundy,64641,Galt
Montgomery,63333,Gamma
Cass,64747,Garden City
Christian,65657,Garrison
Carter,63965,Garwood
Gasconade,65036,Gasconade
Gasconade,65061,Gasconade
Ripley,63942,Gatewood
Gentry,64453,Gentry
Gentry,64402,Gentryville
Pettis,65301,Georgetown
Franklin,63037,Gerald
Adair,63540,Gibbs
Dunklin,63847,Gibson
New Madrid,63848,Gideon
Saline,65330,Gilliam
Harrison,64642,Gilman City
Saint Charles,63385,Gilmore
Bollinger,63750,Gipsy
Dent,65560,Gladden
Clay,64116,Gladstone
Clay,64118,Gladstone
Clay,64119,Gladstone
Clay,64155,Gladstone
Clay,64156,Gladstone
Clay,64165,Gladstone
Clay,64166,Gladstone
Howard,65254,Glasgow
Saint Louis,63137,Glasgow Village
Bollinger,63751,Glenallen
Saint Louis,63038,Glencoe
Saint Louis,63122,Glendale
Morgan,65084,Glensted
Schuyler,63541,Glenwood
Iron,63646,Glover
Pemiscot,63849,Gobler
Macon,63539,Goldberry
Barry,65658,Golden
Barton,64748,Golden City
Macon,63539,Goldsberry
Cooper,65233,Gooch Mill
Saint Louis City,63120,Goodfellow Terrace
Iron,63623,Goodland
McDonald,64843,Goodman
Polk,65659,Goodson
Cape Girardeau,63701,Gordonville
Cape Girardeau,63752,Gordonville
Scotland,63543,Gorin
Monroe,65275,Goss
Cooper,65068,Gouch Mill
Clinton,64454,Gower
Wright,65660,Graff
Nodaway,64455,Graham
Jackson,64029,Grain Valley
Newton,64844,Granby
Jasper,64801,Grand Falls
Saline,65339,Grand Pass
Carter,63943,Grandin
Jackson,64030,Grandview
Scotland,63442,Granger
Worth,64456,Grant City
Monroe,65275,Granville
Bollinger,63753,Grassy
Madison,63655,Gravelton
Morgan,65037,Gravois Mills
Morgan,65038,Gravois Mills
Franklin,63039,Gray Summit
Stoddard,63850,Grayridge
Lawrence,65707,Grays Point
Putnam,63565,Graysville
Sullivan,63544,Green Castle
Sullivan,63545,Green City
Ralls,63462,Green Lawn
Pettis,65332,Green Ridge
Stoddard,63730,Greenbrier
Saint Louis,63133,Greendale
Dade,65661,Greenfield
Knox,63531,Greensburg
Adair,63546,Greentop
Camden,65020,Greenview
Wayne,63944,Greenville
Jackson,64034,Greenwood
Taney,65616,Gretna
Texas,65464,Grogan
Saint Louis,63040,Grover
Wright,65662,Grovespring
Franklin,63041,Grubville
Nodaway,64457,Guilford
Saint Louis,63005,Gumbo
Cass,64747,Gunn City
Callaway,65063,Guthrie
Shelby,63437,Hagars Grove
Camden,65020,Hahatonka
Carroll,64643,Hale
Polk,65663,Half Way
Boone,65255,Hallsville
Lawrence,65664,Halltown
Caldwell,64644,Hamilton
Callaway,65251,Hams Prairie
Saint Louis,63133,Hanley Hills
Marion,63401,Hannibal
Ozark,65666,Hardenville
Ray,64035,Hardin
Boone,65201,Harg
Sullivan,64645,Harris
Boone,65256,Harrisburg
Cass,64701,Harrisonville
Newton,64865,Hart
Boone,65039,Hartsburg
Texas,65479,Hartshorn
Wright,65667,Hartville
Henry,64788,Hartwell
Saint Charles,63303,Harvester
Butler,63945,Harviell
Vernon,64750,Harwood
Monroe,63456,Hassard
Benton,65326,Hastain
Harrison,64458,Hatfield
Callaway,65231,Hatton
Lincoln,63349,Hawk Point
Pulaski,65459,Hayden
Pemiscot,63851,Hayti
Pemiscot,63851,Hayti Heights
New Madrid,63873,Hayward
Scott,63736,Haywood City
Scott,63771,Haywood City
Saint Louis,63042,Hazelwood
Saint Louis,63043,Hazelwood
Saint Louis,63044,Hazelwood
Saint Louis,63045,Hazelwood
Saint Louis,63135,Hazelwood
Andrew,64459,Helena
Jefferson,63047,Hematite
Dekalb,64490,Hemple
Cole,65040,Henley
Ray,64036,Henrietta
Jefferson,63048,Herculaneum
Gasconade,65041,Hermann
Hickory,65668,Hermitage
Cole,65040,Hickory Hill
Randolph,65257,Higbee
Lafayette,64037,Higginsville
Phelps,65559,High Gate
Montgomery,63350,High Hill
Moniteau,65042,High Point
Jefferson,63049,High Ridge
Perry,63775,Highland
Christian,65669,Highlandville
Jefferson,63050,Hillsboro
Boone,65202,Hinton
Wayne,63947,Hiram
Lawrence,65712,Hoberg
Saint Louis,63025,Hoene Spring
Dunklin,63852,Holcomb
Johnson,64040,Holden
Pemiscot,63853,Holland
Monroe,65258,Holliday
Taney,65672,Hollister
Taney,65673,Hollister
Clay,64048,Holt
Callaway,65043,Holts Summit
Clay,64024,Homestead Village
Pemiscot,63879,Homestown
Cole,65101,Honey Creek
Gasconade,65061,Hope
Washington,63660,Hopewell
Nodaway,64461,Hopkins
Jefferson,63070,Horine
Dunklin,63855,Hornersville
Newton,64865,Hornet
Vernon,64751,Horton
Carter,63965,House Creek
Jefferson,63051,House Springs
Texas,65483,Houston
Platte,64151,Houston Lake
Pettis,65333,Houstonia
New Madrid,63869,Howardville
Texas,65484,Huggins
Pettis,65334,Hughesville
Camden,65052,Hugo
Polk,65674,Humansville
Bates,64752,Hume
Sullivan,64646,Humphreys
Shelby,63443,Hunnewell
Marion,63401,Huntington
Saint Louis,63131,Huntleigh
Boone,65203,Huntsdale
Randolph,65259,Huntsville
Knox,63547,Hurdland
Stone,65675,Hurley
Barton,64759,Iantha
Miller,65486,Iberia
Marion,63401,Ilasco
Jefferson,63052,Imperial
Jefferson,63053,Imperial
Jackson,64050,Independence
Jackson,64051,Independence
Jackson,64052,Independence
Jackson,64053,Independence
Jackson,64054,Independence
Jackson,64055,Independence
Jackson,64056,Independence
Jackson,64057,Independence
Jackson,64058,Independence
Monroe,63456,Indian Creek
Chariton,65236,Indian Grove
Shannon,65466,Ink
Warren,63390,Innsbrook
Benton,65335,Ionia
Jasper,64801,Iron Gates
Iron,63650,Iron Mountain
Washington,63648,Irondale
Iron,63650,Ironton
Barton,64759,Irwin
Ozark,65676,Isabella
Cape Girardeau,63755,Jackson
Randolph,65260,Jacksonville
Dent,65501,Jadwin
Daviess,64647,Jameson
Daviess,64648,Jamesport
Moniteau,65046,Jamestown
McDonald,64856,Jane
Franklin,63080,Japan
Jasper,64755,Jasper
Cole,65101,Jefferson City
Cole,65102,Jefferson City
Cole,65103,Jefferson City
Cole,65104,Jefferson City
Cole,65105,Jefferson City
Cole,65106,Jefferson City
Cole,65107,Jefferson City
Cole,65108,Jefferson City
Cole,65109,Jefferson City
Cole,65110,Jefferson City
Cole,65111,Jefferson City
Lawrence,65605,Jenkins
Saint Louis,63136,Jennings
Cedar,64756,Jerico Springs
Phelps,65529,Jerome
Montgomery,63351,Jonesburg
Jasper,64801,Joplin
Jasper,64802,Joplin
Jasper,64803,Joplin
Saint Charles,63385,Josephville
Madison,63645,Junction City
Clark,63445,Kahoka
Miller,65047,Kaiser
Saint Charles,63301,Kampville
Saint Charles,63301,Kampville Beach
Saint Charles,63301,Kampville Court
Jackson,64101,Kansas City
Jackson,64102,Kansas City
Jackson,64105,Kansas City
Jackson,64106,Kansas City
Jackson,64108,Kansas City
Jackson,64109,Kansas City
Jackson,64110,Kansas City
Jackson,64111,Kansas City
Jackson,64112,Kansas City
Jackson,64113,Kansas City
Jackson,64114,Kansas City
Clay,64116,Kansas City
Clay,64117,Kansas City
Clay,64118,Kansas City
Clay,64119,Kansas City
Jackson,64120,Kansas City
Jackson,64121,Kansas City
Jackson,64123,Kansas City
Jackson,64124,Kansas City
Jackson,64125,Kansas City
Jackson,64126,Kansas City
Jackson,64127,Kansas City
Jackson,64128,Kansas City
Jackson,64129,Kansas City
Jackson,64130,Kansas City
Jackson,64131,Kansas City
Jackson,64132,Kansas City
Jackson,64133,Kansas City
Jackson,64134,Kansas City
Jackson,64136,Kansas City
Jackson,64137,Kansas City
Jackson,64138,Kansas City
Jackson,64139,Kansas City
Jackson,64141,Kansas City
Jackson,64142,Kansas City
Clay,64144,Kansas City
Jackson,64145,Kansas City
Jackson,64146,Kansas City
Jackson,64147,Kansas City
Jackson,64148,Kansas City
Jackson,64149,Kansas City
Platte,64150,Kansas City
Platte,64151,Kansas City
Platte,64152,Kansas City
Platte,64153,Kansas City
Platte,64154,Kansas City
Clay,64155,Kansas City
Clay,64156,Kansas City
Clay,64157,Kansas City
Clay,64158,Kansas City
Clay,64160,Kansas City
Clay,64161,Kansas City
Platte,64163,Kansas City
Platte,64164,Kansas City
Clay,64165,Kansas City
Clay,64166,Kansas City
Clay,64167,Kansas City
Platte,64168,Kansas City
Jackson,64170,Kansas City
Jackson,64171,Kansas City
Jackson,64172,Kansas City
Jackson,64173,Kansas City
Jackson,64179,Kansas City
Jackson,64180,Kansas City
Jackson,64183,Kansas City
Jackson,64184,Kansas City
Jackson,64185,Kansas City
Jackson,64187,Kansas City
Clay,64188,Kansas City
Jackson,64189,Kansas City
Platte,64190,Kansas City
Jackson,64191,Kansas City
Jackson,64192,Kansas City
Jackson,64193,Kansas City
Jackson,64194,Kansas City
Platte,64195,Kansas City
Jackson,64196,Kansas City
Jackson,64197,Kansas City
Jackson,64198,Kansas City
Jackson,64199,Kansas City
Jackson,64944,Kansas City
Jackson,64999,Kansas City
Clay,64117,Kansas City North
Macon,63534,Kaseyville
Clay,64060,Kearney
Scott,63758,Kelso
Jasper,64836,Kendricktown
Dunklin,63857,Kennett
Knox,63547,Kenwood
Macon,63532,Keota
New Madrid,63860,Kewanee
Chariton,65261,Keytesville
Caldwell,64649,Kidder
Stone,65686,Kimberling City
Jefferson,63053,Kimmswick
Stoddard,63960,Kinder
Gentry,64463,King City
Callaway,65262,Kingdom City
Caldwell,64650,Kingston
Johnson,64061,Kingsville
Saint Louis,63140,Kinloch
Taney,65679,Kirbyville
Adair,63501,Kirksville
Saint Louis,63122,Kirkwood
Taney,65680,Kissee Mills
Moniteau,65018,Kliever
Saint Francois,63651,Knob Lick
Johnson,65305,Knob Noster
Johnson,65336,Knob Noster
Knox,63446,Knox City
Osage,65048,Koeltztown
Maries,65013,Koenig
Oregon,65692,Koshkonong
Lewis,63447,La Belle
Lewis,63448,La Grange
Pettis,65337,La Monte
Macon,63549,La Plata
Lawrence,64848,La Russell
Franklin,63055,Labadie
Linn,64651,Laclede
Audrain,63352,Laddonia
Saint Louis,63124,Ladue
Camden,65065,Laguna Beach
Jefferson,63016,Lake Adelle
Cass,64746,Lake Annette
Saint Louis,63040,Lake Chesterfield
Sainte Genevieve,63670,Lake Forest
Lafayette,64076,Lake Lafayette
Jackson,64063,Lake Lotawana
Jackson,64086,Lake Lotawana
Camden,65049,Lake Ozark
Saint Charles,63367,Lake Saint Louis
Warren,63357,Lake Sherwood
Dent,65532,Lake Spring
Jackson,64015,Lake Tapawingo
Daviess,64640,Lake Viking
Platte,64151,Lake Waukomis
Jackson,64034,Lake Winnebago
Miller,65026,Lakeland
Shelby,63468,Lakenan
Jasper,64801,Lakeside
Stone,65737,Lakeview
Benton,65338,Lakeview Heights
Barton,64759,Lamar
Scott,63736,Lambert
Saint Louis,63145,Lambert Airport
Cooper,65233,Lamine
Stone,65681,Lampe
McDonald,64847,Lanagan
Schuyler,63548,Lancaster
Maries,65013,Lanes Prairie
Atchison,64446,Langdon
Howell,65775,Lanton
Pulaski,65534,Laquey
Grundy,64652,Laredo
Moniteau,65050,Latham
Clinton,64465,Lathrop
Cass,64747,Latour
Morgan,65037,Laurie
Morgan,65038,Laurie
Ray,64062,Lawson
Saint Francois,63601,Leadington
Saint Francois,63653,Leadwood
Crawford,65535,Leasburg
Laclede,65536,Lebanon
Dent,65540,Lecoma
Jackson,64063,Lees Summit
Clark,63453,Luray
Jackson,64064,Lees Summit
Jackson,64065,Lees Summit
Jackson,64081,Lees Summit
Jackson,64082,Lees Summit
Jackson,64086,Lees Summit
Johnson,64761,Leeton
Saint Louis,63125,Lemay
Putnam,63565,Lemons
Dent,65541,Lenox
Shelby,63450,Lentner
Shelby,63451,Leonard
Bollinger,63760,Leopold
